,client,status,CAMICIA,SCARPA ALTA INVERNALE M,PILE ARANCIO,SCARPA ALTA  HARD,SCARPA ALTA ASFALTISTA,PANTALONE LAVORO L,GIUBBETTO,SCARPA ALTA INVERNALE S,STIVALE,SCARPA ALTA STONE S,PILE S,PANTALONE LAVORO M,ELMETTO,PANTALONE JEANS M,SCARPA ALTA STONE M,PILE L,PILE ALTA VISIBILITA',SCARPA BASSA,MAGLIETTA,SCARPA ALTA INVERNALE XL,SCARPA ALTA INVERNALE L,FELPA,SCARPA ALTA STONE L,PANTALONE LAVORO S,PANTALONE ARANCIO,PANTALONE,PANTALONE JEANS S,SCARPA ASFALTISTA,TUTA,SCARPA BASSA STRONG,SCARPA ALTA SCOTLAND,PANTALONE JEANS L
150,CO,0,2,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,1,0
151,CO,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
152,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,CO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,1,3,0,0,0,0,0,0,2,0
154,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
155,CO,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
156,CO,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0
157,CO,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
158,MI,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,2,3,0,0,3,0,0,0,0,0,0,0,0
159,FI,0,0,0,0,0,0,0,0,0,0,1,0,0,9,13,17,0,0,0,0,0,0,19,1,0,0,0,4,0,0,0,0,2
160,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,7,2,0,0,0,1,0,0,0,0,4
161,CO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
162,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
163,CO,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
